Row,Column,Gain,Offset
0,0,105,0
0,1,105,0
0,2,105,0
0,3,105,0
0,4,105,0
0,5,105,0
0,6,105,0
0,7,105,0
0,8,105,0
0,9,105,0
0,10,105,0
0,11,105,0
0,12,105,0
0,13,105,0
0,14,105,0
0,15,105,0
0,16,105,0
0,17,105,0
0,18,105,0
0,19,105,0
0,20,105,0
0,21,105,0
0,22,105,0
0,23,105,0
0,24,105,0
0,25,105,0
0,26,105,0
0,27,105,0
0,28,105,0
0,29,105,0
0,30,105,0
0,31,105,0
0,32,105,0
0,33,105,0
0,34,105,0
0,35,105,0
0,36,105,0
0,37,105,0
0,38,105,0
0,39,105,0
0,40,105,0
0,41,105,0
0,42,105,0
0,43,105,0
0,44,105,0
0,45,105,0
0,46,105,0
0,47,105,0
0,48,105,0
0,49,105,0
0,50,105,0
0,51,105,0
0,52,105,0
0,53,105,0
0,54,105,0
0,55,105,0
0,56,105,0
0,57,105,0
0,58,105,0
0,59,105,0
0,60,105,0
0,61,105,0
0,62,105,0
0,63,105,0
0,64,105,0
0,65,105,0
0,66,105,0
0,67,105,0
0,68,105,0
0,69,105,0
0,70,105,0
0,71,105,0
0,72,105,0
0,73,105,0
0,74,105,0
0,75,105,0
0,76,105,0
0,77,105,0
0,78,105,0
0,79,105,0
0,80,105,0
0,81,105,0
0,82,105,0
0,83,105,0
0,84,105,0
0,85,105,0
0,86,105,0
0,87,105,0
0,88,105,0
0,89,105,0
0,90,105,0
0,91,105,0
0,92,105,0
0,93,105,0
0,94,105,0
0,95,105,0
0,96,105,0
0,97,105,0
0,98,105,0
0,99,105,0
0,100,105,0
0,101,105,0
0,102,105,0
0,103,105,0
0,104,105,0
0,105,105,0
0,106,105,0
0,107,105,0
0,108,105,0
0,109,105,0
0,110,105,0
0,111,105,0
0,112,105,0
0,113,105,0
0,114,105,0
0,115,105,0
0,116,105,0
0,117,105,0
0,118,105,0
0,119,105,0
0,120,105,0
0,121,105,0
0,122,105,0
0,123,105,0
0,124,105,0
0,125,105,0
0,126,105,0
0,127,105,0
0,128,105,0
0,129,105,0
0,130,105,0
0,131,105,0
0,132,105,0
0,133,105,0
0,134,105,0
1,0,105,0
1,1,105,0
1,2,105,0
1,3,105,0
1,4,105,0
1,5,105,0
1,6,105,0
1,7,105,0
1,8,105,0
1,9,105,0
1,10,105,0
1,11,105,0
1,12,105,0
1,13,105,0
1,14,105,0
1,15,105,0
1,16,105,0
1,17,105,0
1,18,105,0
1,19,105,0
1,20,105,0
1,21,105,0
1,22,105,0
1,23,105,0
1,24,105,0
1,25,105,0
1,26,105,0
1,27,105,0
1,28,105,0
1,29,105,0
1,30,105,0
1,31,105,0
1,32,105,0
1,33,105,0
1,34,105,0
1,35,105,0
1,36,105,0
1,37,105,0
1,38,105,0
1,39,105,0
1,40,105,0
1,41,105,0
1,42,105,0
1,43,105,0
1,44,105,0
1,45,105,0
1,46,105,0
1,47,105,0
1,48,105,0
1,49,105,0
1,50,105,0
1,51,105,0
1,52,105,0
1,53,105,0
1,54,105,0
1,55,105,0
1,56,105,0
1,57,105,0
1,58,105,0
1,59,105,0
1,60,105,0
1,61,105,0
1,62,105,0
1,63,105,0
1,64,105,0
1,65,105,0
1,66,105,0
1,67,105,0
1,68,105,0
1,69,105,0
1,70,105,0
1,71,105,0
1,72,105,0
1,73,105,0
1,74,105,0
1,75,105,0
1,76,105,0
1,77,105,0
1,78,105,0
1,79,105,0
1,80,105,0
1,81,105,0
1,82,105,0
1,83,105,0
1,84,105,0
1,85,105,0
1,86,105,0
1,87,105,0
1,88,105,0
